"filename", "language", "TypeScript", "TypeScript JSX", "CSS", "comment", "blank", "total"
"c:\dev\imersive vision\client\src\server\modules\form\domain\interfaces.ts", "TypeScript", 21, 0, 0, 0, 4, 25
"c:\dev\imersive vision\client\src\server\modules\form\domain\mials.ts", "TypeScript", 14, 0, 0, 0, 4, 18
"c:\dev\imersive vision\client\src\server\modules\form\infraestructure\form.controller.ts", "TypeScript", 43, 0, 0, 0, 5, 48
"c:\dev\imersive vision\client\src\server\modules\invoice\aplication\invoice.usecase.ts", "TypeScript", 195, 0, 0, 0, 32, 227
"c:\dev\imersive vision\client\src\server\modules\invoice\aplication\invoiceComplete.usecase.ts", "TypeScript", 284, 0, 0, 42, 70, 396
"c:\dev\imersive vision\client\src\server\modules\invoice\domain\interfaces.ts", "TypeScript", 21, 0, 0, 0, 2, 23
"c:\dev\imersive vision\client\src\server\modules\invoice\infraestructure\completeInvoice.controller.ts", "TypeScript", 122, 0, 0, 76, 41, 239
"c:\dev\imersive vision\client\src\server\modules\invoice\infraestructure\invoice.controller.ts", "TypeScript", 223, 0, 0, 0, 48, 271
"c:\dev\imersive vision\client\src\server\modules\invoice\infraestructure\supabaseDBManager.ts", "TypeScript", 124, 0, 0, 0, 30, 154
"c:\dev\imersive vision\client\src\server\modules\invoice\infraestructure\utilities\formatters.ts", "TypeScript", 49, 0, 0, 0, 10, 59
"c:\dev\imersive vision\client\src\server\modules\invoice\infraestructure\zodValidatorManager.ts", "TypeScript", 71, 0, 0, 0, 17, 88
"c:\dev\imersive vision\client\src\server\modules\methodPayment\aplication\methodPayment.usecase.ts", "TypeScript", 218, 0, 0, 0, 28, 246
"c:\dev\imersive vision\client\src\server\modules\methodPayment\domain\interfaces.ts", "TypeScript", 14, 0, 0, 0, 2, 16
"c:\dev\imersive vision\client\src\server\modules\methodPayment\infraestructure\methodPayment.controller.ts", "TypeScript", 223, 0, 0, 0, 46, 269
"c:\dev\imersive vision\client\src\server\modules\methodPayment\infraestructure\supabaseDBManager.ts", "TypeScript", 83, 0, 0, 0, 18, 101
"c:\dev\imersive vision\client\src\server\modules\methodPayment\infraestructure\zodValidatorManager.ts", "TypeScript", 60, 0, 0, 0, 16, 76
"c:\dev\imersive vision\client\src\server\modules\permission\aplication\permission.usecase.ts", "TypeScript", 158, 0, 0, 0, 26, 184
"c:\dev\imersive vision\client\src\server\modules\permission\domain\interfaces.ts", "TypeScript", 8, 0, 0, 0, 2, 10
"c:\dev\imersive vision\client\src\server\modules\permission\infraestructure\permission.controller.ts", "TypeScript", 202, 0, 0, 0, 42, 244
"c:\dev\imersive vision\client\src\server\modules\permission\infraestructure\supabaseDBManager.ts", "TypeScript", 83, 0, 0, 0, 18, 101
"c:\dev\imersive vision\client\src\server\modules\permission\infraestructure\zodValidatorManager.ts", "TypeScript", 55, 0, 0, 0, 18, 73
"c:\dev\imersive vision\client\src\server\modules\projectDescription\aplication\projectDescription.usecase.ts", "TypeScript", 170, 0, 0, 0, 26, 196
"c:\dev\imersive vision\client\src\server\modules\projectDescription\domain\interfaces.ts", "TypeScript", 14, 0, 0, 0, 2, 16
"c:\dev\imersive vision\client\src\server\modules\projectDescription\infraestructure\projectDescription.controller.ts", "TypeScript", 233, 0, 0, 0, 46, 279
"c:\dev\imersive vision\client\src\server\modules\projectDescription\infraestructure\supabaseDBManager.ts", "TypeScript", 87, 0, 0, 0, 18, 105
"c:\dev\imersive vision\client\src\server\modules\projectDescription\infraestructure\zodValidatorManager.ts", "TypeScript", 59, 0, 0, 0, 18, 77
"c:\dev\imersive vision\client\src\server\modules\project\aplication\project.usecase.ts", "TypeScript", 169, 0, 0, 0, 31, 200
"c:\dev\imersive vision\client\src\server\modules\project\domain\interfaces.ts", "TypeScript", 15, 0, 0, 0, 2, 17
"c:\dev\imersive vision\client\src\server\modules\project\infraestructure\project.controller.ts", "TypeScript", 218, 0, 0, 0, 46, 264
"c:\dev\imersive vision\client\src\server\modules\project\infraestructure\supabaseDBManager.ts", "TypeScript", 99, 0, 0, 0, 21, 120
"c:\dev\imersive vision\client\src\server\modules\project\infraestructure\zodValidatorManager.ts", "TypeScript", 57, 0, 0, 0, 18, 75
"c:\dev\imersive vision\client\src\server\modules\userPermission\aplication\userPermission.usecase.ts", "TypeScript", 168, 0, 0, 0, 26, 194
"c:\dev\imersive vision\client\src\server\modules\userPermission\domain\interfaces.ts", "TypeScript", 8, 0, 0, 0, 2, 10
"c:\dev\imersive vision\client\src\server\modules\userPermission\infraestructure\supabaseDBManager.ts", "TypeScript", 115, 0, 0, 0, 26, 141
"c:\dev\imersive vision\client\src\server\modules\userPermission\infraestructure\userPermission.controller.ts", "TypeScript", 241, 0, 0, 0, 52, 293
"c:\dev\imersive vision\client\src\server\modules\userPermission\infraestructure\zodValidatorManager.ts", "TypeScript", 64, 0, 0, 0, 18, 82
"c:\dev\imersive vision\client\src\server\modules\user\aplication\user.usecase.ts", "TypeScript", 228, 0, 0, 0, 43, 271
"c:\dev\imersive vision\client\src\server\modules\user\domain\interfaces.ts", "TypeScript", 13, 0, 0, 0, 2, 15
"c:\dev\imersive vision\client\src\server\modules\user\infraestructure\supabaseDBManager.ts", "TypeScript", 96, 0, 0, 0, 20, 116
"c:\dev\imersive vision\client\src\server\modules\user\infraestructure\user.controller.ts", "TypeScript", 255, 0, 0, 0, 51, 306
"c:\dev\imersive vision\client\src\server\modules\user\infraestructure\zodValidatorManager.ts", "TypeScript", 57, 0, 0, 0, 18, 75
"c:\dev\imersive vision\client\src\server\utilities\JWTManager.ts", "TypeScript", 21, 0, 0, 0, 4, 25
"c:\dev\imersive vision\client\src\server\utilities\adapters.ts", "TypeScript", 10, 0, 0, 15, 5, 30
"c:\dev\imersive vision\client\src\server\utilities\cookieManager.ts", "TypeScript", 13, 0, 0, 0, 4, 17
"c:\dev\imersive vision\client\src\server\utilities\cryptojs.ts", "TypeScript", 28, 0, 0, 0, 9, 37
"c:\dev\imersive vision\client\src\server\utilities\enums.ts", "TypeScript", 147, 0, 0, 6, 20, 173
"c:\dev\imersive vision\client\src\server\utilities\formatters.ts", "TypeScript", 532, 0, 0, 0, 130, 662
"c:\dev\imersive vision\client\src\server\utilities\generators.ts", "TypeScript", 26, 0, 0, 0, 5, 31
"c:\dev\imersive vision\client\src\server\utilities\interfaces.ts", "TypeScript", 132, 0, 0, 4, 26, 162
"c:\dev\imersive vision\client\src\server\utilities\supabaseClient.ts", "TypeScript", 3, 0, 0, 0, 2, 5
"c:\dev\imersive vision\client\src\server\utilities\validations.ts", "TypeScript", 30, 0, 0, 0, 6, 36
"c:\dev\imersive vision\client\src\styles\globals.css", "CSS", 0, 0, 52, 0, 12, 64
"c:\dev\imersive vision\client\src\utils\consts.ts", "TypeScript", 37, 0, 0, 0, 3, 40
"c:\dev\imersive vision\client\src\utils\enums.ts", "TypeScript", 11, 0, 0, 0, 2, 13
"c:\dev\imersive vision\client\src\utils\notifications.tsx", "TypeScript JSX", 0, 38, 0, 0, 3, 41
"c:\dev\imersive vision\client\src\utils\validations.ts", "TypeScript", 18, 0, 0, 0, 5, 23
"Total", "-", 7465, 5025, 63, 184, 1859, 14596
