"filename", "language", "TypeScript", "CSS", "TypeScript JSX", "comment", "blank", "total"
"c:\dev\imersive vision\client\src\server\modules\user\domain\interfaces.ts", "TypeScript", 13, 0, 0, 0, 2, 15
"c:\dev\imersive vision\client\src\server\modules\user\infraestructure\supabaseDBManager.ts", "TypeScript", 96, 0, 0, 0, 20, 116
"c:\dev\imersive vision\client\src\server\modules\user\infraestructure\user.controller.ts", "TypeScript", 255, 0, 0, 0, 51, 306
"c:\dev\imersive vision\client\src\server\modules\user\infraestructure\zodValidatorManager.ts", "TypeScript", 57, 0, 0, 0, 18, 75
"c:\dev\imersive vision\client\src\server\utilities\JWTManager.ts", "TypeScript", 21, 0, 0, 0, 4, 25
"c:\dev\imersive vision\client\src\server\utilities\adapters.ts", "TypeScript", 10, 0, 0, 15, 5, 30
"c:\dev\imersive vision\client\src\server\utilities\cookieManager.ts", "TypeScript", 13, 0, 0, 0, 4, 17
"c:\dev\imersive vision\client\src\server\utilities\cryptojs.ts", "TypeScript", 28, 0, 0, 0, 9, 37
"c:\dev\imersive vision\client\src\server\utilities\enums.ts", "TypeScript", 161, 0, 0, 0, 21, 182
"c:\dev\imersive vision\client\src\server\utilities\formatters.ts", "TypeScript", 570, 0, 0, 0, 140, 710
"c:\dev\imersive vision\client\src\server\utilities\generators.ts", "TypeScript", 26, 0, 0, 0, 5, 31
"c:\dev\imersive vision\client\src\server\utilities\interfaces.ts", "TypeScript", 136, 0, 0, 4, 27, 167
"c:\dev\imersive vision\client\src\server\utilities\supabaseClient.ts", "TypeScript", 3, 0, 0, 0, 2, 5
"c:\dev\imersive vision\client\src\server\utilities\validations.ts", "TypeScript", 30, 0, 0, 0, 6, 36
"c:\dev\imersive vision\client\src\styles\globals.css", "CSS", 0, 52, 0, 0, 12, 64
"c:\dev\imersive vision\client\src\utils\consts.ts", "TypeScript", 28, 0, 0, 0, 2, 30
"c:\dev\imersive vision\client\src\utils\enums.ts", "TypeScript", 11, 0, 0, 0, 2, 13
"c:\dev\imersive vision\client\src\utils\formater.ts", "TypeScript", 0, 0, 0, 0, 1, 1
"c:\dev\imersive vision\client\src\utils\notifications.tsx", "TypeScript JSX", 0, 0, 38, 0, 3, 41
"c:\dev\imersive vision\client\src\utils\validations.ts", "TypeScript", 12, 0, 0, 0, 3, 15
"Total", "-", 7770, 63, 3782, 193, 1929, 13737
